index,music,intro,size,created_date,language,status,location
1,Bheegi Bheegi Yaadein   Atif Aslam 2020.mp3,Enjoy Bheegi Bheegi Yaadein Atif Aslam 2020 from your music collection.,5.73 MB,2026-09-15,unknown,Ready,C:\Programing\Python\Python_project\Music_mixer\music\Bheegi Bheegi Yaadein   Atif Aslam 2020.mp3
2,Chura Liya Hai Tumne Jo Dil Ko   Asha Bhosle   Mohammed Rafi   Yaadon Ki Baaraat   Evergreen Song.mp3,Enjoy Chura Liya Hai Tumne Jo Dil Ko Asha Bhosle Mohammed Rafi Yaadon Ki Baaraat Evergreen Song from your music collection.,6.86 MB,2026-09-15,unknown,Ready,C:\Programing\Python\Python_project\Music_mixer\music\Chura Liya Hai Tumne Jo Dil Ko   Asha Bhosle   Mohammed Rafi   Yaadon Ki Baaraat   Evergreen Song.mp3
3,dil sambhal ja zara song lyrics.mp3,Enjoy dil sambhal ja zara song lyrics from your music collection.,7.52 MB,2026-09-15,unknown,Ready,C:\Programing\Python\Python_project\Music_mixer\music\dil sambhal ja zara song lyrics.mp3
4,Dudhe Te Bhari Talavadi   Garbo   Udaan-the band   Pruthvi Parikh.mp3,Enjoy Dudhe Te Bhari Talavadi Garbo Udaan the band Pruthvi Parikh from your music collection.,7.75 MB,2026-09-15,unknown,Ready,C:\Programing\Python\Python_project\Music_mixer\music\Dudhe Te Bhari Talavadi   Garbo   Udaan-the band   Pruthvi Parikh.mp3
5,"Kaho Poonam Na   Rangtaali 2018 રંગતાળી   Aishwarya Majmudar   Maulik Mehta, Rahul Munjariya.mp3","Enjoy Kaho Poonam Na Rangtaali 2018 રંગતાળી Aishwarya Majmudar Maulik Mehta, Rahul Munjariya from your music collection.",3.93 MB,2026-09-15,unknown,Ready,"C:\Programing\Python\Python_project\Music_mixer\music\Kaho Poonam Na   Rangtaali 2018 રંગતાળી   Aishwarya Majmudar   Maulik Mehta, Rahul Munjariya.mp3"
6,Kya Hua Tera Wada-Lyrical   क्या हुआ तेरा वादा   Hum Kisise kum nahi   Mohammed Rafi   Rishi Kapoor.mp3,Enjoy Kya Hua Tera Wada Lyrical क्या हुआ तेरा वादा Hum Kisise kum nahi Mohammed Rafi Rishi Kapoor from your music collection.,6.31 MB,2026-09-15,unknown,Ready,C:\Programing\Python\Python_project\Music_mixer\music\Kya Hua Tera Wada-Lyrical   क्या हुआ तेरा वादा   Hum Kisise kum nahi   Mohammed Rafi   Rishi Kapoor.mp3
7,"Likhe Jo Khat Tujhe 💌 Evergreen Classic   Shashi Kapoor, Asha Parekh   Mohammed Rafi.mp3","Enjoy Likhe Jo Khat Tujhe 💌 Evergreen Classic Shashi Kapoor, Asha Parekh Mohammed Rafi from your music collection.",10.20 MB,2026-09-15,unknown,Ready,"C:\Programing\Python\Python_project\Music_mixer\music\Likhe Jo Khat Tujhe 💌 Evergreen Classic   Shashi Kapoor, Asha Parekh   Mohammed Rafi.mp3"
8,Navalakhay Lobadiyaliyu.mp3,Enjoy Navalakhay Lobadiyaliyu from your music collection.,4.52 MB,2026-09-15,unknown,Ready,C:\Programing\Python\Python_project\Music_mixer\music\Navalakhay Lobadiyaliyu.mp3
9,Ochhav   Sona Indhoni.mp3,Enjoy Ochhav Sona Indhoni from your music collection.,3.46 MB,2026-09-15,unknown,Ready,C:\Programing\Python\Python_project\Music_mixer\music\Ochhav   Sona Indhoni.mp3
10,One Direction - Night Changes (Lyrics).mp3,Enjoy One Direction Night Changes (Lyrics) from your music collection.,5.21 MB,2026-09-15,unknown,Ready,C:\Programing\Python\Python_project\Music_mixer\music\One Direction - Night Changes (Lyrics).mp3
